municipio;data;populacaoTCU2019; casos ;obitos
Belo Horizonte;05/06/2020;2512070;161;3
Belo Horizonte;06/06/2020;2512070;103;2
Belo Horizonte;07/06/2020;2512070;89;-1
Belo Horizonte;08/06/2020;2512070;17;0
Belo Horizonte;09/06/2020;2512070;35;3
Belo Horizonte;10/06/2020;2512070;283;0
Belo Horizonte;11/06/2020;2512070;87;4
Belo Horizonte;12/06/2020;2512070;175;0
Belo Horizonte;13/06/2020;2512070;130;1
Belo Horizonte;14/06/2020;2512070;201;0
Belo Horizonte;15/06/2020;2512070;62;0
Belo Horizonte;16/06/2020;2512070;1;9
Belo Horizonte;17/06/2020;2512070;143;7
Belo Horizonte;18/06/2020;2512070;179;4
Belo Horizonte;19/06/2020;2512070;69;3
Belo Horizonte;20/06/2020;2512070;113;6
Belo Horizonte;21/06/2020;2512070;91;0
Belo Horizonte;22/06/2020;2512070;345;0
Belo Horizonte;23/06/2020;2512070;239;0
Belo Horizonte;24/06/2020;2512070;105;8
Belo Horizonte;25/06/2020;2512070;170;2
Belo Horizonte;26/06/2020;2512070;35;3
Belo Horizonte;27/06/2020;2512070;0;-1
Belo Horizonte;28/06/2020;2512070;218;0
Belo Horizonte;29/06/2020;2512070;245;22
Belo Horizonte;30/06/2020;2512070;70;6
Belo Horizonte;01/07/2020;2512070;405;8
Belo Horizonte;02/07/2020;2512070;655;13
Belo Horizonte;03/07/2020;2512070;574;11
Belo Horizonte;04/07/2020;2512070;417;8
Belo Horizonte;05/07/2020;2512070;329;0
Belo Horizonte;06/07/2020;2512070;190;0
Belo Horizonte;07/07/2020;2512070;193;12
Belo Horizonte;08/07/2020;2512070;501;12
Belo Horizonte;09/07/2020;2512070;587;23
Belo Horizonte;10/07/2020;2512070;617;23
Belo Horizonte;11/07/2020;2512070;640;3
Belo Horizonte;12/07/2020;2512070;0;0
Belo Horizonte;13/07/2020;2512070;0;21
Belo Horizonte;14/07/2020;2512070;686;15
Belo Horizonte;15/07/2020;2512070;819;11
Belo Horizonte;16/07/2020;2512070;0;23
Belo Horizonte;17/07/2020;2512070;108;9
Belo Horizonte;18/07/2020;2512070;1469;14
Belo Horizonte;19/07/2020;2512070;0;0
Belo Horizonte;20/07/2020;2512070;0;0
Belo Horizonte;21/07/2020;2512070;301;35
Belo Horizonte;22/07/2020;2512070;88;21
Belo Horizonte;23/07/2020;2512070;962;19
Belo Horizonte;24/07/2020;2512070;1049;15
Belo Horizonte;25/07/2020;2512070;570;27
Belo Horizonte;26/07/2020;2512070;567;0
Belo Horizonte;27/07/2020;2512070;0;0
Belo Horizonte;28/07/2020;2512070;960;24
Belo Horizonte;29/07/2020;2512070;0;-1
Belo Horizonte;30/07/2020;2512070;915;16
Belo Horizonte;31/07/2020;2512070;1164;30
Belo Horizonte;01/08/2020;2512070;0;24
Belo Horizonte;02/08/2020;2512070;318;0
Belo Horizonte;03/08/2020;2512070;0;0
Belo Horizonte;04/08/2020;2512070;478;0
Belo Horizonte;05/08/2020;2512070;1339;0
Belo Horizonte;06/08/2020;2512070;265;69
Belo Horizonte;07/08/2020;2512070;1439;0
Belo Horizonte;08/08/2020;2512070;321;28
Belo Horizonte;09/08/2020;2512070;616;21
Belo Horizonte;10/08/2020;2512070;44;0
Belo Horizonte;11/08/2020;2512070;0;0
Belo Horizonte;12/08/2020;2512070;1344;52
Belo Horizonte;13/08/2020;2512070;446;18
Belo Horizonte;14/08/2020;2512070;599;18
Belo Horizonte;15/08/2020;2512070;468;19
Belo Horizonte;16/08/2020;2512070;420;9
Belo Horizonte;17/08/2020;2512070;89;22
Belo Horizonte;18/08/2020;2512070;187;7
Belo Horizonte;19/08/2020;2512070;624;23
Belo Horizonte;20/08/2020;2512070;417;16
Belo Horizonte;21/08/2020;2512070;615;19
Belo Horizonte;22/08/2020;2512070;0;3
Belo Horizonte;23/08/2020;2512070;176;6
Belo Horizonte;24/08/2020;2512070;0;0
Belo Horizonte;25/08/2020;2512070;980;0
Belo Horizonte;26/08/2020;2512070;379;9
Belo Horizonte;27/08/2020;2512070;463;21
Belo Horizonte;28/08/2020;2512070;418;32
Belo Horizonte;29/08/2020;2512070;371;24
Belo Horizonte;30/08/2020;2512070;0;10
Belo Horizonte;31/08/2020;2512070;452;0
Belo Horizonte;01/09/2020;2512070;113;0
Belo Horizonte;02/09/2020;2512070;464;25
Belo Horizonte;03/09/2020;2512070;409;18
Belo Horizonte;04/09/2020;2512070;0;30
Belo Horizonte;05/09/2020;2512070;789;0
Belo Horizonte;06/09/2020;2512070;354;22
Belo Horizonte;07/09/2020;2512070;106;0
Belo Horizonte;08/09/2020;2512070;0;0
Belo Horizonte;09/09/2020;2512070;204;3
Belo Horizonte;10/09/2020;2512070;368;4
Belo Horizonte;11/09/2020;2512070;497;17
